stemID,species,dbh.cm,xdist,ydist,Jenkins_type
357,TSHE,45.4,399.49,286.12,tf
358,TSHE,71.5,390.14,250.25,tf
360,TABR,8.1,378.11,254.21,tf
361,TABR,9.3,388.57,254.17,tf
363,THPL,67.5,382.39,262.33,cl
365,TSHE,21.3,377.42,269.6,tf
366,TSHE,50.3,375.22,272.79,tf
367,TSHE,100.3,384.57,267.38,tf
369,TSHE,15.3,396.33,255.42,tf
371,TABR,9.2,388.31,270.96,tf
373,TABR,8.6,395.99,266.34,tf
374,TSHE,32.1,396.43,272,tf
376,PSME,126.3,399.46,260.65,pm
377,TSHE,39.2,398.99,262.76,tf
380,TSHE,35.2,377.8,225.98,tf
381,TSHE,64.9,389.62,227.45,tf
383,TSHE,89.2,380.17,233.25,tf
384,TSHE,9.6,386.57,233.51,tf
385,TSHE,10.1,395.11,227.96,tf
387,TABR,32.7,378.51,241.85,tf
388,TSHE,34.7,385.07,236.89,tf
389,TSHE,23.2,396.21,228.47,tf
390,TSHE,9.7,399.04,225.86,tf
391,TABR,16.3,387.72,236.79,tf
392,TSHE,18.9,392.02,234.08,tf
393,TSHE,23.3,390.29,236.81,tf
394,PSME,117.5,381.97,247.12,pm
395,THPL,121.4,381.45,248.41,cl
396,TSHE,24,383.31,246.7,tf
397,TABR,6.4,387.98,243.68,tf
398,PSME,126.6,390.65,242.73,pm
400,TSHE,5.8,396.63,232.38,tf
401,PSME,126.7,392.45,248.17,pm
403,TSHE,13.9,396.01,241.32,tf
404,TSHE,23.1,397.25,247.66,tf
405,PSME,91.1,387.66,200.18,pm
406,TSHE,20.7,376.69,204.98,tf
407,ABAM,6,383.64,205.63,tf
408,TSHE,69.1,388.02,204.44,tf
410,TSHE,99.9,393.41,205.85,tf
411,TSHE,20,381.32,215.42,tf
412,TSHE,14.6,380.57,217.7,tf
413,PSME,109.5,376.39,225.02,pm
414,ABAM,6.8,386.23,216.23,tf
415,TABR,8,385.53,218.15,tf
416,TSHE,100.6,382.42,222.72,tf
419,TSHE,79.4,392.79,217.29,tf
421,ABAM,6.1,398.08,208.83,tf
423,THPL,122.9,399.33,221.36,cl
424,TABR,6.4,380.87,205.71,tf
425,CONU,7.4,314.48,218.31,mh
426,TSHE,20.3,334.07,299.2,tf
498,TSHE,13.1,390.95,295.41,tf
1003,TABR,27.5,303.92,178.68,tf
1007,TSHE,7.5,303.71,185.39,tf
1008,TSHE,7.5,300.83,187.03,tf
1010,TSHE,6,303.31,189.48,tf
1011,TSHE,12.6,301.33,192.29,tf
1014,PSME,93.4,314.28,188.52,pm
1016,TSHE,35.6,310.95,193.18,tf
1017,TSHE,10.2,314.66,189.23,tf
1018,TSHE,6.5,312.31,194.06,tf
1021,ABGR,61.3,313.38,195.78,tf
1023,TSHE,51.8,314.47,195.86,tf
1024,PSME,82.2,323.15,178.86,pm
1026,TABR,13.5,318.56,188.87,tf
1027,TSHE,19.2,316.78,192.35,tf
1028,TSHE,15.8,315.91,195.46,tf
1029,TABR,13.4,319.15,189.18,tf
1030,PSME,111,321.99,186.14,pm
1031,TABR,29.8,319.71,191.28,tf
1033,ABGR,63.1,317.76,199.39,tf
1034,TSHE,6.4,323.66,182.38,tf
1035,TSHE,7.6,323.39,186.16,tf
1036,TABR,28.3,324.09,195.26,tf
1037,PSME,112.8,324.19,198.29,pm
1038,TSHE,22.7,345.5,175,tf
1039,TABR,25.5,331.54,178.15,tf
1040,TABR,5.8,337.09,178.53,tf
1041,TSHE,71.8,342.18,177.79,tf
1042,TABR,8.3,337.96,179.22,tf
1044,TABR,11.9,327.32,182.98,tf
1045,TSHE,25.1,330.51,182.87,tf
1046,ABAM,17.4,337.78,181.7,tf
1047,PSME,130.9,340.11,181.74,pm
1048,TSHE,97.4,326.99,187.7,tf
1049,TSHE,16.7,333.5,187.35,tf
1050,TSHE,23.8,336.67,185.29,tf
1051,TABR,18.9,339.74,184.17,tf
1052,THPL,8.2,344.81,179.89,cl
1054,TSHE,84.9,334.14,195.53,tf
1055,PSME,73,340.8,189.62,pm
1056,ABGR,46.1,340.16,192.2,tf
1057,TABR,9.2,334.92,198.68,tf
1059,TSHE,38.2,339.88,196.64,tf
1061,TABR,6.7,342.12,194.58,tf
1062,ABAM,16.6,344.25,188.87,tf
1064,CONU,5.3,348.52,179.23,mh
1067,TSHE,19.9,348.46,181.35,tf
